Obs_Yield_t_ha,HarvestDOY,RainYearly,RadiationYearly,TmaxYearly,TminYearly
7.75,185,616.875,4718.536125,16.79657534,5.774417808
6.32,216,839.4,4161.6058,13.83309589,4.872164384
7.13,211,900.78,4213.822,14.46721311,5.400054645
6.98,211,937.04,4201.5964,13.56027397,4.701479452
6.79,208,984.18,4242.8394,14.3780274,5.301205479
5.56,203,501.26,4669.1296,14.86186301,4.216876712
8.57,222,704.9,4255.6506,13.43322404,4.382677596
6.87,219,889.16,4234.4638,13.14767123,3.790356164
6.74,221,717.2,4365.1496,13.96734247,4.519835616
7.5,194,870.34,4462.3062,14.54339726,5.039452055
7.92,213,759.16,4275.0102,14.09355191,4.89
6.93,218,752.54,4228.8542,13.71347945,4.531616438
6.57,217,911.64,4105.2788,12.30383562,3.654465753
7.6,213,775.42,4481.755,14.55945205,4.730794521
7.57,211,815.86,4351.423,13.90704918,4.44715847
7.31,221,843.44,4052.8228,12.99928767,4.439561644
8.28,206,802.36,4150.8006,14.91260274,5.590849315
7.8,207,663.02,4322.3442,15.10482192,5.231616438
7.43,203,789.2,4173.0104,14.26814208,5.090163934
7.62,209,811.96,4348.1362,14.36465753,4.714958904
7,202,722.34,4670.6336,15.65408219,5.661150685
6.97,206,723.36,4506.0822,15.14663014,5.128657534
7.79,208,758.3,4601.553,15.06754098,5.190874317
6.54,217,849.64,4369.608,13.74783562,4.348164384
6.81,186,682.66,4689.004,16.71967123,5.686739726
5.76,218,1307.488889,4192.763778,13.61850837,4.760182648
6.83,211,1383.688889,4295.886556,14.63199757,5.374924104
5.94,209,1354.644444,4272.748667,13.70033486,4.677899543
6.4,207,1467.377778,4356.470889,14.50085236,5.145266362
6.12,203,908.3333333,4746.579,14.68666667,4.216834094
7.46,222,1125.777778,4264.608444,13.26879174,4.340467517
6,219,1278.822222,4282.722667,13.11515982,3.830045662
6.42,223,1140.322222,4459.386778,13.77479452,4.26718417
7.32,194,1209.988889,4509.469556,14.29083714,4.788949772
7.26,218,1023.788889,4364.096667,13.96730419,4.639829994
6.05,217,1209.9,4294.984444,13.75741248,4.530136986
5.86,216,1068.488889,4153.806889,12.38724505,3.80870624
7.29,213,1032.577778,4590.151889,14.51232877,4.576042618
6.93,211,1145.944444,4415.775556,13.79365513,4.419095325
7.02,224,1171.811111,4156.818,12.8508067,3.992998478
8.22,208,996.1,4235.209667,14.7925723,5.473059361
7.75,207,887.9555556,4412.918222,15.02660578,5.163318113
6.87,205,1238.355556,4236.382222,14.16587735,4.947723133
8.65,208,1155.888889,4423.643556,14.2086758,4.607153729
7.46,205,946.2555556,4670.414111,15.3891933,5.556133942
